ID,start,end,code,coordenadaX,coordenadaY,resultado_rucks,Velocidad de salida de la pelota,numero_de_jugadores_utilizados,jugador,Periodo,lado_de_cancha,zona_de_la_cancha,resultado,type,origine,fin,Kicker,cote_terrain_fin_action,zona_de_la_cancha_fin_de_accion,tipo_de_pase,resultado_pase,metros_recorridos,tipo_de_juego_con_el_pie,disputas,coordenadaXA,coordenadaYA,altura_de_tackles,Eficiencia,Post tackle accion,tipo_de_defensa,resultado_contactos,numero_de_defensores_abatidos,tipo_de_recuperacion,lado_de_cancha2,zona_de_la_cancha2,orden_de_llegada,Eficiencia linea,tipo_de_perdida_pelota,duel_aerien,tipos_de_faltas,origen_del_falta,tipo_de_puntos,resultado_2,tiempo,numero_de_jugadores_en_el_line,tipo_de_lanzamiento,Lanzador,saltador,resultado_saltador,resultado_lanzador,lado_de_cancha2_fin_de_action,origen_del_try,first_half_chrono,second_half_chrono,jugadores_participantes_scrums_1,jugadores_participantes_scrums_2,jugadores_participantes_scrums_3,jugadores_participantes_scrums_4,jugadores_participantes_scrums_5,tipo_de_lanzamiento_scrum,jugadores_participantes_scrums_1_opp,jugadores_participantes_scrums_2_opp,jugadores_participantes_scrums_3_opp,jugadores_participantes_scrums_4_opp,jugadores_participantes_scrums_5_opp,plaquage_dangereux,tipo_de_juego_con_manos,arret_de_volee,50_22,player_out,player_in,tiempo2,Tarjetas,player_out_yellow,player_in_yellow,scrum_reset
56,920.2102127777778,933.2102127777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,923.5843927777778,939.5843927777778,Argentine - Juego con el pie,15,39,,,,Gonzalo Jesus GARCIA,1ro cuarto,0 - 20m,22m - 50m,Positivo,,,,,0 - 20m,50m - 22m adv,,,0m,Presion,Contestable et Conteste,17,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,926.3353517777778,941.7656047777778,Argentine - Contactos,23,64,Positivo,3 - 6 sec,5 y mas,,1ro cuarto,Centro,50m - 22m adv,,,,,,,,,,3m,,,,,,,,,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,928.3285237777778,951.3285237777778,Lions Britanniques et Irlandais - Cambio de posesion y contrataque,48,33,,,,,1ro cuarto,Centro,22m - 50m,,,,,,,,Simple,Positivo,3m,,,,,,,,,,,Por falta del contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,928.3285237777778,982.3563427777779,Lions Britanniques et Irlandais - Cambio de posesion y contrataque,48,33,,,,Maro ITOJE,1ro cuarto,Centro,22m - 50m,,,,,,,,,,,,,,,,,,,,,Por falta del contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,928.6586247777778,940.6586247777778,Lions Britanniques et Irlandais - Recepcion en el aire,54,41,,,,Fin SMITH,1ro cuarto,,,Neutro,Jeu au pied,defensive,,,,,,,,,,,,,,,,,,,,,,,,Disputa en el aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,928.6586247777778,945.7197727777778,Lions Britanniques et Irlandais - Recepcion en el aire,49,35,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,Tackles abajo,Perdida,,,,,,,,,,,Disputa en el aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,928.7404917777778,940.7404917777778,Argentine - Recepcion en el aire,17,60,,,,Juan Martin GONZALEZ SAMSO,1ro cuarto,,,Neutro,Jeu au pied,offensive,,,,,,,,,,,,,,,,,,,,,,,,Disputa en el aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,928.7404917777778,940.7404917777778,Argentine - Recepcion en el aire,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,,,,Disputa en el aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,930.4529797777778,946.4529797777778,Argentine - Pelota perdida,30,67,,,,Gonzalo Jesus GARCIA,1ro cuarto,Centro,50m - 22m adv,,,,,,,,,,,,,,,,,,,,,,,,,,Juego general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,931.2443477777779,941.2443477777779,Lions Britanniques et Irlandais - Tackles,53,37,,,,,1ro cuarto,20m - 0,22m - 50m,Positivo,,,,,,,,,,,,,,Tackles abajo,Perdida,Defensor en el suelo,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,931.2443477777779,945.2510667777779,Lions Britanniques et Irlandais - Tackles,53,37,,,,Jac MORGAN,1ro cuarto,20m - 0,22m - 50m,Positivo,,,,,,,,,,,,,,Tackles abajo,Perdida,Defensor en el suelo,Linea,,,,,,,Linea de ventaja perdida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,932.4136077777778,945.4136077777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,932.4136077777778,945.4136077777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,932.7440927777778,945.7440927777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,933.2546537777778,946.2546537777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 4 y +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,934.1128037777778,944.1128037777778,Argentine - Pases,,,,,,Gonzalo Jesus GARCIA,1ro cuarto,,,,,,,,,,Offload,Negativo,0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
